Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
ALIACENSIS B|3,20|-31,43|16,0|16,0|?
ALIACENSIS C|5,42|-32,70|8,0|8,0|?
ALIACENSIS D|6,82|-33,19|10,0|10,0|?
ALIACENSIS E|2,32|-30,42|9,0|9,0|?
ALIACENSIS G|4,70|-33,39|8,0|8,0|?
ALIACENSIS H|6,01|-31,81|6,0|6,0|?
ALIACENSIS K|6,26|-31,43|7,0|7,0|?
ALIACENSIS W|5,32|-31,90|11,0|11,0|?
ALMANON|15,14|-16,85|50,0|49,0|2480
Almanon 1|15,28|-16,98|0,0|0,0|?
ALMANON A|15,32|-17,79|10,0|10,0|?
ALMANON B|15,26|-18,33|25,0|25,0|?
ALMANON C|15,98|-16,16|16,0|16,0|?
ALMANON D|15,54|-18,60|6,0|6,0|?
ALMANON H|15,22|-19,03|6,0|6,0|?
ALMANON K|15,43|-15,84|8,0|8,0|?
ALMANON L|16,58|-19,00|6,0|6,0|?
ALMANON P|17,00|-18,55|8,0|8,0|?
ALOHA|-53,88|29,79|2,5|2,5|
ALPES A|-0,30|51,39|11,0|11,0|?
ALPETRAGIUS|-4,51|-16,05|40,0|40,0|3900
ALPETRAGIUS B|-6,88|-15,13|10,0|10,0|?
ALPETRAGIUS G|-6,56|-18,17|12,0|12,0|?
ALPETRAGIUS M|-3,27|-16,45|24,0|24,0|?
ALPETRAGIUS N|-3,88|-16,74|11,0|11,0|?
ALPETRAGIUS U|-5,11|-17,71|14,0|14,0|?
ALPETRAGIUS V|-5,83|-18,19|17,0|17,0|?
ALPETRAGIUS W|-5,96|-17,95|27,0|27,0|?
ALPETRAGIUS X|-5,74|-15,61|32,0|32,0|?
ALPHONSUS|-2,85|-13,39|118,0|118,0|2730
Alphonsus 1|-0,77|-13,41|0,0|0,0|?
ALPHONSUS B|-0,20|-13,26|24,0|24,0|?
ALPHONSUS D|-0,85|-15,05|23,0|23,0|?
ALPHONSUS H|-0,53|-15,62|8,0|8,0|?
ALPHONSUS J|-2,51|-15,14|8,0|8,0|?
ALPHONSUS K|-0,11|-12,61|20,0|20,0|?
AMMONIUS|-0,83|-8,52|8,0|9,0|1850
AMUNDSEN|83,07|-84,44|106,0|106,0|?
AMUNDSEN C|85,21|-80,76|27,0|27,0|?
ANAXAGORAS|-10,17|73,48|51,0|51,0|?
ANAXAGORAS A|-7,02|72,26|18,0|18,0|?
ANAXIMANDER|-51,44|66,97|68,0|68,0|2800
ANAXIMANDER A|-50,40|68,05|16,0|16,0|?
ANAXIMANDER B|-61,21|68,08|78,0|78,0|?
ANAXIMANDER D|-50,68|65,78|92,0|92,0|?
ANAXIMANDER H|-41,06|65,29|9,0|9,0|?
ANAXIMANDER R|-55,21|66,32|8,0|8,0|?
ANAXIMANDER S|-53,60|68,35|7,0|7,0|?
ANAXIMANDER T|-52,27|67,30|7,0|7,0|?
ANAXIMANDER U|-48,50|64,14|8,0|8,0|?
ANAXIMENES|-44,98|72,49|80,0|80,0|?
ANAXIMENES B|-38,06|68,94|9,0|9,0|?
ANAXIMENES E|-31,46|66,58|10,0|10,0|?
ANAXIMENES G|-40,50|73,75|56,0|56,0|?
ANAXIMENES H|-45,70|74,64|43,0|43,0|?
ANDEL|12,38|-10,41|35,0|35,0|1300
ANDEL A|11,24|-10,81|14,0|14,0|?
ANDEL D|11,71|-10,79|6,0|6,0|?
ANDEL E|12,22|-12,02|6,0|6,0|?
ANDEL F|11,08|-8,34|9,0|9,0|?
ANDEL H|11,31|-6,67|6,0|6,0|?
ANDEL J|11,41|-7,54|6,0|6,0|?
ANDEL M|11,12|-9,75|27,0|27,0|?
ANDEL N|11,34|-10,24|8,0|8,0|?
ANDEL P|12,20|-11,65|19,0|19,0|?
ANDEL W|12,26|-12,36|12,0|12,0|?
ANGO|-32,34|20,48|0,9|0,9|
ANGSTROM|-41,67|29,90|10,0|10,0|2030
ANGSTROM A|-41,15|30,92|6,0|6,0|?
ANGSTROM B|-44,19|31,76|6,0|6,0|?
