Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
DORSUM HIGAZY|-17,47|27,93|60,0|9,0|?
DORSUM NICOL|22,66|18,32|50,0|5,0|?
DORSUM OPPEL|52,09|19,31|302,0|7,0|?
DORSUM OWEN|11,09|25,14|50,0|9,0|?
DORSUM THERA|-31,42|24,40|7,2|7,2|
DORSUM VON COTTA|11,95|23,60|220,0|7,0|?
DORSUM ZIRKEL|-24,82|29,55|210,0|8,0|?
DOUBLET|-17,50|-3,70|0,4|0,4|
DOVE|31,42|-46,83|30,0|30,0|1600
DOVE A|33,46|-46,98|13,0|13,0|?
DOVE B|33,05|-47,23|19,0|19,0|?
DOVE C|30,82|-47,10|19,0|19,0|?
DOVE Z|29,19|-44,53|8,0|8,0|?
DRAPER|-21,75|17,56|9,0|9,0|1740
DRAPER|-21,75|17,56|8,0|8,0|?
Draper 1|-21,93|18,06|8,0|8,0|?
Draper 2|-24,25|18,72|4,6|4,6|?
Draper 3|-23,64|19,51|6,2|6,2|?
DRAPER C|-21,51|17,07|7,8|7,8|1610
DREBBEL|-49,12|-40,93|30,0|30,0|3500
DREBBEL A|-51,07|-38,99|7,0|7,0|?
DREBBEL B|-47,52|-37,78|18,0|18,0|?
DREBBEL C|-43,06|-40,46|30,0|30,0|?
DREBBEL D|-49,36|-37,95|10,0|10,0|?
DREBBEL E|-51,48|-38,21|65,0|65,0|?
DREBBEL F|-44,76|-42,79|15,0|15,0|?
DREBBEL G|-45,39|-43,84|17,0|17,0|?
DREBBEL H|-45,47|-41,74|10,0|10,0|?
DREBBEL J|-52,42|-40,62|13,0|13,0|?
DREBBEL K|-49,62|-40,06|37,0|37,0|?
DREBBEL L|-50,94|-40,30|9,0|9,0|?
DREBBEL M|-41,55|-41,29|8,0|8,0|?
DREBBEL N|-52,56|-41,34|9,0|9,0|?
DRYGALSKI|-87,18|-79,57|164,0|164,0|3900
Dubiago P 1|66,25|1,43|27,0|27,0|?
DUBYAGO|69,95|4,38|51,0|51,0|?
DUBYAGO B|70,30|3,08|36,0|36,0|?
DUBYAGO D|71,12|1,46|14,0|14,0|?
DUBYAGO E|68,97|1,47|12,0|12,0|?
DUBYAGO F|69,43|1,89|9,0|9,0|?
DUBYAGO G|68,95|1,84|9,0|9,0|?
DUBYAGO H|69,19|2,33|8,0|8,0|?
DUBYAGO J|69,52|2,92|11,0|11,0|?
DUBYAGO K|68,31|1,51|9,0|9,0|?
DUBYAGO L|68,12|1,94|7,0|7,0|?
DUBYAGO M|68,12|2,56|12,0|12,0|?
DUBYAGO N|66,96|1,46|7,0|7,0|?
DUBYAGO R|66,39|2,52|8,0|8,0|?
DUBYAGO T|72,27|4,87|9,0|9,0|?
DUBYAGO V|69,81|5,89|12,0|12,0|?
DUBYAGO W|69,74|6,51|9,0|9,0|?
DUBYAGO X|73,03|6,50|8,0|8,0|?
DUBYAGO Y|68,19|4,24|7,0|7,0|?
DUBYAGO Z|70,93|3,89|9,0|9,0|?
DUNE|3,70|26,00|0,4|0,4|
DUNTHORNE|-31,71|-30,12|17,0|17,0|2780
DUNTHORNE A|-32,67|-28,79|6,0|6,0|?
DUNTHORNE B|-31,68|-31,36|7,0|7,0|?
DUNTHORNE C|-32,57|-29,42|7,0|7,0|?
DUNTHORNE D|-34,06|-29,94|6,0|6,0|?
EARTHLIGHT|3,70|26,10|0,2|0,2|
EDDINGTON|-72,02|21,50|134,0|134,0|?
EDDINGTON P|-71,11|21,03|12,0|12,0|?
EGEDE|10,64|48,72|IV-174-H3 IV-169-H3|36,0|22
Egede 1|9,20|50,81|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|0,0|0
Egede 2|10,16|47,56|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|0,0|0
EGEDE A|10,50|51,57|13,0|13,0|?
Egede A 1|11,50|52,28|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|0,0|0
Egede A 2|10,06|50,99|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|6,0|03/06/2014
Egede A 3|9,65|49,91|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|7,0|04/03/2014
EGEDE B|8,92|50,59|8,0|8,0|?
Egede B 1|8,65|50,81|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|0,0|0
Egede B 2|8,35|50,71|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|0,0|0
Egede B 3|8,35|50,17|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|14,0|06/01/2014
Egede B 4|8,08|50,17|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|8,0|04/09/2014
Egede B 5|7,57|49,82|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|8,0|04/09/2014
EGEDE G|6,94|52,00|7,0|7,0|?
Egede P 1|10,49|47,90|IV-110-H3 IV-104-H1 IV-103-H3 IV-110-H3|0,0|0
EICHSTADT|-78,42|-22,63|50,0|49,0|?
EICHSTADT C|-76,86|-21,72|15,0|15,0|?
EICHSTADT D|-76,12|-23,43|7,0|7,0|?
EICHSTADT E|-78,46|-23,92|18,0|18,0|?
EICHSTADT G|-80,85|-22,41|11,0|11,0|?
EICHSTADT H|-79,99|-19,08|11,0|11,0|?
EICHSTADT K|-83,40|-18,27|13,0|13,0|?
EIMMART|64,80|23,97|46,0|46,0|?
EIMMART A|65,66|24,11|7,0|7,0|?
EIMMART B|66,77|21,37|11,0|11,0|?
EIMMART C|61,26|22,41|24,0|24,0|?
EIMMART D|69,09|22,98|11,0|11,0|?
EIMMART F|62,11|23,29|8,0|8,0|?
EIMMART G|64,84|25,52|14,0|14,0|?
EIMMART H|64,33|22,13|16,0|16,0|?
EIMMART K|67,89|20,12|13,0|13,0|?
EINSTEIN A|-88,25|16,69|51,0|51,0|?
ELBOW|3,60|26,00|0,3|0,3|
ELGER|-29,81|-35,40|22,0|22,0|1250
ELGER A|-31,24|-37,37|8,0|8,0|?
ELGER B|-32,10|-37,12|8,0|8,0|?
EMORY|30,80|20,10|0,5|0,5|
ENCKE|-36,68|4,57|30,0|29,0|750
ENCKE B|-36,78|2,36|11,5|11,5|2230
ENCKE C|-36,45|0,66|9,0|9,0|?
ENCKE E|-40,20|0,35|9,0|9,0|?
ENCKE G|-38,79|4,79|7,0|7,0|?
ENCKE T|-37,88|3,23|91,0|91,0|?
END|15,60|-8,90|0,4|0,4|
ENDYMION|56,48|53,61|126,0|125,0|4600
ENDYMION A|62,56|54,61|30,0|30,0|?
ENDYMION B|67,75|59,86|59,0|59,0|?
ENDYMION C|60,55|58,37|32,0|32,0|?
ENDYMION D|62,15|52,29|20,0|20,0|?
ENDYMION E|66,24|53,59|18,0|18,0|?
ENDYMION F|63,60|56,52|12,0|12,0|?
ENDYMION G|55,59|56,43|15,0|15,0|?
ENDYMION H|56,15|50,99|14,0|14,0|?
ENDYMION J|50,71|53,51|67,0|67,0|?
ENDYMION K|52,20|51,18|7,0|7,0|?
ENDYMION L|71,39|55,48|9,0|9,0|?
ENDYMION M|71,08|52,69|9,0|9,0|?
ENDYMION N|69,63|52,40|9,0|9,0|?
ENDYMION W|69,54|52,76|10,0|10,0|?
ENDYMION X|50,03|52,94|6,0|6,0|?
ENDYMION Y|57,97|55,78|8,0|8,0|?
EPIGENES|-4,62|67,50|55,0|55,0|2000
EPIGENES A|-0,39|67,04|18,0|18,0|?
EPIGENES B|-3,36|68,45|11,0|11,0|?
EPIGENES D|0,15|68,35|10,0|10,0|?
EPIGENES H|-6,32|69,53|7,0|7,0|?
EPIGENES P|-5,44|65,53|33,0|33,0|?
EPIMENIDES|-30,33|-40,92|27,0|27,0|2000
EPIMENIDES A|-30,18|-43,27|15,0|15,0|?
EPIMENIDES B|-28,93|-41,62|10,0|10,0|?
EPIMENIDES S|-29,44|-41,71|26,0|26,0|?
ERATOSTHENES|-11,32|14,47|58,0|58,0|3570
ERATOSTHENES A|-8,33|18,34|6,0|6,0|?
Eratosthenes A 1|-7,75|18,42|17,0|22,0|?
Eratosthenes B 1|-8,57|17,70|15,0|25,0|?
ERLANGER|28,62|86,99|10,9|10,9|
ESCLANGON|42,06|21,47|17,0|16,0|?
EUCLIDES|-29,56|-7,40|12,0|12,0|1000
Euclides 1|-28,93|-7,18|8,0|8,0|?
EUCLIDES C|-30,08|-13,29|10,0|10,0|?
EUCLIDES D|-25,81|-9,40|5,8|5,8|
EUCLIDES F|-33,73|-6,37|5,2|5,2|1100
EUCLIDES K|-24,72|-4,23|6,0|6,0|?
EUCLIDES M|-28,23|-10,45|6,0|6,0|?
EUCLIDES P|-27,69|-4,52|66,0|66,0|?
EUCTEMON|30,57|76,26|63,0|62,0|2100
EUCTEMON C|38,68|76,10|20,0|20,0|?
EUCTEMON D|38,70|77,04|20,0|20,0|?
EUCTEMON H|26,21|76,16|16,0|16,0|?
EUCTEMON K|28,43|75,93|7,0|7,0|?
EUCTEMON N|32,95|75,41|8,0|8,0|?
EUDOXUS|16,23|44,27|68,0|67,0|3350
EUDOXUS A|20,09|45,83|14,0|14,0|?
EUDOXUS B|17,35|45,66|8,0|8,0|?
EUDOXUS E|21,17|44,40|6,0|6,0|?
Eudoxus E 1|21,72|41,30|5,0|7,0|?
EUDOXUS G|18,78|45,41|7,0|7,0|?
EULER|-29,18|23,26|28,0|28,0|2240
Euler 1|-29,69|27,32|35,0|35,0|?
EULER E|-34,07|24,70|6,0|6,0|?
EULER F|-27,96|21,14|6,0|6,0|?
Euler K 1|-32,70|21,10|2,0|2,0|?
Euler P 1|-30,50|18,97|5,0|6,0|?
FABBRONI|29,27|18,66|11,0|11,0|2090
FABRICIUS|41,84|-42,75|78,0|78,0|2500
FABRICIUS A|44,40|-44,64|45,0|45,0|?
FABRICIUS B|44,85|-43,56|17,0|17,0|?
FABRICIUS J|45,04|-45,83|16,0|16,0|?
FALCON|30,30|20,40|0,0|0,0|
FAMILY MOUNTAIN|30,30|20,40|7,0|7,0|
FARADAY|8,75|-42,45|70,0|70,0|4090
FARADAY A|9,65|-41,54|21,0|21,0|?
FARADAY C|8,04|-43,32|30,0|30,0|?
FARADAY D|9,61|-43,78|14,0|14,0|?
FARADAY G|10,06|-45,92|31,0|31,0|?
FARADAY H|10,24|-45,12|12,0|12,0|?
FARADAY K|10,30|-42,68|7,0|7,0|?
FAUTH|-20,14|6,23|12,0|12,0|1960
FAUTH A|-20,19|5,98|9,6|9,6|1540
FAYE|3,81|-21,39|36,0|37,0|2370
FEDOROV|-37,05|28,23|7,0|7,0|?
FELIX|-25,38|25,09|1,4|1,4|
FERMAT|19,79|-22,71|40,0|39,0|2000
FERMAT A|19,60|-21,83|17,0|17,0|?
FERMAT B|21,09|-23,08|11,0|11,0|?
FERMAT C|18,47|-21,10|14,0|14,0|?
FERMAT D|17,98|-20,22|13,0|13,0|?
FERMAT E|19,87|-19,95|7,0|7,0|?
FERMAT G|19,99|-19,44|7,0|7,0|?
FERMAT P|19,44|-23,68|37,0|37,0|?
FERNELIUS|4,86|-38,18|65,0|65,0|?
FERNELIUS A|3,48|-38,40|30,0|30,0|?
FERNELIUS B|4,12|-37,45|10,0|10,0|?
FERNELIUS C|4,37|-38,94|7,0|7,0|?
FERNELIUS D|6,16|-38,28|7,0|7,0|?
FERNELIUS E|6,57|-38,40|6,0|6,0|?
FEUILLEE|-9,46|27,37|10,0|10,0|1810
FIBIGER|37,13|86,14|21,1|21,1|
FINSCH|21,27|23,58|3,0|4,0|?
FIRMICUS|63,43|7,25|56,0|56,0|1700
FIRMICUS A|64,96|6,44|8,0|8,0|?
FIRMICUS B|65,77|7,31|14,0|14,0|?
FIRMICUS C|66,46|7,71|13,0|13,0|?
FIRMICUS D|64,34|5,90|11,0|11,0|?
FIRMICUS E|63,61|8,08|9,0|9,0|?
FIRMICUS F|61,76|6,53|9,0|9,0|?
FIRMICUS G|61,90|6,93|9,0|9,0|?
FIRMICUS H|60,20|7,44|7,0|7,0|?
FIRMICUS M|66,65|4,08|42,0|42,0|?
FLAG|15,50|-9,00|0,0|0,0|
FLAMMARION|-3,73|-3,33|75,0|75,0|?
Flammarion 1|-4,02|-4,01|14,0|14,0|?
Flammarion 10|-3,85|-2,87|0,0|0,0|?
Flammarion 11|-3,27|-2,69|0,0|0,0|?
Flammarion 2|-4,48|-3,78|6,0|6,0|?
Flammarion 3|-3,45|-3,44|8,0|8,0|?
Flammarion 4|-4,42|-3,44|9,0|9,0|?
Flammarion 5|-3,79|-3,27|0,0|0,0|?
Flammarion 6|-3,45|-3,21|0,0|0,0|?
Flammarion 7|-4,48|-3,10|0,0|0,0|?
Flammarion 8|-4,31|-3,04|9,0|9,0|?
Flammarion 9|-3,50|-2,92|0,0|0,0|?
FLAMMARION B|-4,57|-4,04|6,0|6,0|?
FLAMMARION T|-2,06|-2,80|34,0|34,0|?
FLAMMARION U|-1,41|-3,00|10,0|10,0|?
FLAMMARION W|-2,39|-2,13|7,0|7,0|?
FLAMSTEED|-44,34|-4,49|22,0|21,0|2160
FLAMSTEED A|-43,00|-7,88|11,0|11,0|?
FLAMSTEED B|-43,81|-5,93|10,0|10,0|?
FLAMSTEED C|-46,33|-5,52|9,0|9,0|?
FLAMSTEED D|-44,95|-3,19|6,0|6,0|?
FLAMSTEED F|-41,15|-4,73|5,4|5,4|1050
FLAMSTEED G|-51,05|-4,74|46,0|46,0|?
FLAMSTEED P|-44,25|-3,25|100,0|100,0|?
FLAMSTEED T|-51,72|-3,14|24,0|24,0|?
FLANK|-17,40|-3,70|0,0|0,0|
FLOREY|-19,75|87,04|69,1|69,1|
FONTANA|-56,79|-16,04|31,0|31,0|?
FONTANA A|-56,17|-15,71|13,0|13,0|?
FONTANA B|-56,46|-15,55|11,0|11,0|?
FONTANA C|-57,19|-12,86|14,0|14,0|?
FONTANA D|-57,49|-17,00|11,0|11,0|?
FONTANA E|-57,98|-17,61|13,0|13,0|?
FONTANA F|-59,95|-16,21|7,0|7,0|?
FONTANA G|-59,29|-15,96|15,0|15,0|?
FONTANA H|-58,07|-13,99|9,0|9,0|?
FONTANA K|-57,45|-13,26|7,0|7,0|?
FONTANA M|-57,71|-17,21|6,0|6,0|?
FONTANA W|-58,47|-17,25|6,0|6,0|?
FONTENELLE|-18,96|63,42|38,0|38,0|1750
Fontenelle 1|-17,22|60,00|16,0|32,0|?
FONTENELLE A|-16,15|67,61|21,0|21,0|?
FONTENELLE B|-22,99|61,91|14,0|14,0|?
Fontenelle B 1|-20,83|58,65|10,0|10,0|?
FONTENELLE C|-27,32|64,52|13,0|13,0|?
FONTENELLE D|-23,44|62,64|17,0|17,0|?
FONTENELLE F|-28,21|64,41|11,0|11,0|?
Fontenelle G 1|-17,51|59,66|18,0|18,0|?
Fontenelle G 2|-20,74|58,32|0,0|0,0|?
FONTENELLE H|-20,15|64,10|6,0|6,0|?
FONTENELLE K|-15,77|69,66|7,0|7,0|?
FONTENELLE L|-16,62|66,54|6,0|6,0|?
FONTENELLE M|-28,86|63,15|9,0|9,0|?
FONTENELLE N|-29,75|64,06|8,0|8,0|?
FONTENELLE P|-17,26|64,20|6,0|6,0|?
FONTENELLE R|-18,77|64,32|6,0|6,0|?
FONTENELLE S|-26,85|65,32|7,0|7,0|?
FONTENELLE T|-25,88|66,38|7,0|7,0|?
FONTENELLE X|-27,81|60,57|7,0|7,0|?
FOUCAULT|-39,86|50,46|23,0|23,0|2100
FOURIER|-53,10|-30,31|53,0|53,0|3700
FOURIER A|-49,67|-30,20|32,0|32,0|?
FOURIER B|-52,21|-30,54|11,0|11,0|?
FOURIER C|-52,04|-28,56|14,0|14,0|?
FOURIER D|-50,56|-31,53|21,0|21,0|?
FOURIER E|-50,23|-28,70|14,0|14,0|?
FOURIER F|-52,79|-28,82|14,0|14,0|?
FOURIER G|-51,84|-29,40|11,0|11,0|?
FOURIER K|-54,35|-30,04|10,0|10,0|?
FOURIER N|-56,58|-33,47|10,0|10,0|?
FOURIER P|-55,07|-31,12|9,0|9,0|?
FOURIER R|-51,38|-34,25|9,0|9,0|?
FRA MAURO|-16,97|-6,06|96,0|95,0|?
Fra Mauro 1|-12,65|-5,34|0,0|0,0|?
Fra Mauro 2|-12,64|-5,16|0,0|0,0|?
FRA MAURO A|-20,96|-5,47|9,0|9,0|?
FRA MAURO B|-21,70|-4,03|7,0|7,0|?
FRA MAURO C|-21,69|-5,45|7,0|7,0|?
FRA MAURO ETA|-15,50|-2,30|20,0|10,0|?
FRA MAURO G|-16,33|-2,21|6,0|6,0|?
FRA MAURO H|-15,58|-4,15|6,0|6,0|?
FRA MAURO K|-16,80|-2,54|6,0|6,0|?
FRA MAURO X|-17,33|-4,47|20,0|20,0|?
FRACASTORIUS|33,07|-21,36|124,0|124,0|?
Fracastorius 1|29,31|-22,89|0,0|0,0|?
Fracastorius 2|33,96|-22,27|0,0|0,0|?
Fracastorius 3|33,79|-19,57|24,0|24,0|?
Fracastorius 4|32,56|-19,27|8,0|8,0|?
Fracastorius 5|33,23|-19,03|24,0|18,0|?
Fracastorius 6|32,13|-17,94|21,0|21,0|?
FRACASTORIUS A|36,44|-24,43|18,0|18,0|?
FRACASTORIUS B|37,25|-22,59|27,0|27,0|?
FRACASTORIUS C|34,53|-24,64|16,0|16,0|?
FRACASTORIUS D|30,87|-21,82|28,0|28,0|?
FRACASTORIUS E|31,02|-20,24|13,0|13,0|?
FRACASTORIUS G|38,35|-21,20|16,0|16,0|?
FRACASTORIUS H|30,57|-20,78|21,0|21,0|?
FRACASTORIUS J|37,38|-20,85|12,0|12,0|?
FRACASTORIUS K|34,68|-25,40|17,0|17,0|?
FRACASTORIUS N|33,96|-23,28|10,0|10,0|?
FRACASTORIUS P|33,34|-25,51|8,0|8,0|?
FRACASTORIUS Q|33,23|-25,21|8,0|8,0|?
FRACASTORIUS T|37,37|-19,85|14,0|14,0|?
FRACASTORIUS W|35,69|-22,70|7,0|7,0|?
FRACASTORIUS X|31,02|-23,06|7,0|7,0|?
FRACASTORIUS Y|31,93|-23,01|12,0|12,0|?
FRACASTORIUS Z|33,55|-24,89|9,0|9,0|?
FRANCK|35,56|22,59|12,0|12,0|2510
FRANKLIN|47,64|38,73|56,0|56,0|2700
FRANKLIN C|44,26|35,68|15,0|15,0|?
FRANKLIN F|47,69|37,39|38,0|38,0|?
FRANKLIN G|48,12|40,09|7,0|7,0|?
FRANKLIN H|43,74|37,12|6,0|6,0|?
FRANKLIN K|51,48|39,05|20,0|20,0|?
FRANKLIN W|43,69|37,81|6,0|6,0|?
FRANZ|40,24|16,57|27,0|26,0|590
FRAUNHOFER|59,06|-39,52|58,0|58,0|1500
FRAUNHOFER A|61,61|-39,58|29,0|29,0|?
FRAUNHOFER B|67,31|-41,93|36,0|36,0|?
FRAUNHOFER C|64,63|-43,02|38,0|38,0|?
FRAUNHOFER D|68,78|-43,16|17,0|17,0|?
FRAUNHOFER E|61,57|-43,20|42,0|42,0|?
FRAUNHOFER F|59,77|-41,76|16,0|16,0|?
FRAUNHOFER G|58,38|-38,51|11,0|11,0|?
FRAUNHOFER H|61,57|-40,76|43,0|43,0|?
FRAUNHOFER J|63,41|-42,31|63,0|63,0|?
FRAUNHOFER K|69,42|-42,56|16,0|16,0|?
FRAUNHOFER L|68,88|-42,10|8,0|8,0|?
FRAUNHOFER M|65,41|-40,89|21,0|21,0|?
FRAUNHOFER N|64,07|-40,91|12,0|12,0|?
FRAUNHOFER R|68,63|-43,51|11,0|11,0|?
FRAUNHOFER S|69,83|-43,11|13,0|13,0|?
FRAUNHOFER T|55,64|-37,89|8,0|8,0|?
FRAUNHOFER U|65,17|-40,27|24,0|24,0|?
FRAUNHOFER V|58,02|-39,00|24,0|24,0|?
FRAUNHOFER W|62,77|-39,36|18,0|18,0|?
FRAUNHOFER X|60,57|-39,72|6,0|6,0|?
FRAUNHOFER Y|62,81|-40,13|13,0|13,0|?
FRAUNHOFER Z|63,84|-39,92|14,0|14,0|?
FREDHOLM|46,55|18,37|15,0|15,0|?
FURNERIUS|60,54|-36,00|126,0|126,0|3500
FURNERIUS A|59,03|-33,54|12,0|12,0|?
FURNERIUS B|59,94|-35,44|22,0|22,0|?
FURNERIUS C|57,72|-33,74|22,0|22,0|?
FURNERIUS D|55,87|-37,06|16,0|16,0|?
FURNERIUS E|57,24|-34,78|22,0|22,0|?
FURNERIUS F|64,12|-36,10|43,0|43,0|?
FURNERIUS G|65,36|-38,14|34,0|34,0|?
FURNERIUS H|69,62|-37,59|44,0|44,0|?
FURNERIUS J|63,88|-34,84|24,0|24,0|?
FURNERIUS K|67,95|-38,12|36,0|36,0|?
FURNERIUS L|69,90|-38,60|13,0|13,0|?
FURNERIUS N|60,94|-33,57|9,0|9,0|?
FURNERIUS P|61,70|-37,92|18,0|18,0|?
FURNERIUS Q|67,24|-39,49|30,0|30,0|?
FURNERIUS R|68,97|-39,94|17,0|17,0|?
FURNERIUS S|67,91|-39,13|15,0|15,0|?
FURNERIUS T|62,93|-37,88|10,0|10,0|?
FURNERIUS U|68,29|-35,75|20,0|20,0|?
FURNERIUS V|65,50|-35,72|58,0|58,0|?
FURNERIUS W|70,99|-37,30|32,0|32,0|?
FURNERIUS X|63,46|-33,88|8,0|8,0|?
FURNERIUS Y|65,01|-34,20|12,0|12,0|?
FURNERIUS Z|62,94|-33,49|8,0|8,0|?
G Bond 1|6,68|64,56|12,0|12,0|?
G Bond 2|34,37|32,14|0,0|0,0|?
G. BOND|36,32|32,39|31,0|32,0|2780
G. BOND A|36,87|31,58|9,0|9,0|?
G. BOND B|34,67|29,95|33,0|33,0|?
G. BOND C|34,75|28,29|46,0|46,0|?
G. BOND G|37,25|32,74|31,0|31,0|?
G. BOND K|38,33|32,14|14,0|14,0|?
GALILAEI|-62,83|10,48|15,0|15,0|2000
Galilaei 1|-60,70|8,28|12,0|13,0|?
Galilaei 2|-60,40|10,84|8,0|10,0|?
GALILAEI A|-63,05|11,69|11,0|11,0|?
GALILAEI B|-67,72|11,43|15,0|15,0|?
GALILAEI E|-61,94|13,91|7,0|7,0|?
GALILAEI H|-68,81|11,55|7,0|7,0|?
Galilaei M 1|-57,51|12,01|12,0|12,0|?
Galilaei M 2|-55,89|13,24|7,0|7,0|?
Galilaei M 3|-51,68|13,47|4,0|10,0|?
Galilaei M 4|-57,42|13,59|7,0|10,0|?
GALLE|22,33|55,87|22,0|21,0|2300
GALLE A|22,27|53,99|6,0|6,0|?
Galle A 1|21,63|52,19|8,0|15,0|?
GALLE B|17,54|55,56|7,0|7,0|?
GALLE C|24,51|57,80|11,0|11,0|?
GALVANI B|-88,82|49,45|15,0|15,0|?
GALVANI D|-88,07|47,33|13,0|13,0|?
GAMBART|-15,24|0,92|25,0|25,0|1050
Gambart 1|-11,07|0,29|13,0|13,0|?
Gambart 2|-15,96|0,52|6,2|6,2|?
Gambart 3|-14,30|0,74|13,0|13,0|?
Gambart 4|-17,16|0,92|0,0|0,0|?
Gambart 5|-17,52|1,09|0,0|0,0|?
Gambart 6|-14,48|1,20|10,0|10,0|?
Gambart 7|-14,90|1,72|20,0|20,0|?
GAMBART A|-18,76|0,96|12,0|12,0|2440
GAMBART B|-11,59|2,16|11,5|11,5|2170
Gambart B 1|-12,60|2,41|9,0|11,0|?
GAMBART C|-11,82|3,32|12,2|12,2|2300
Gambart C 1|-12,37|2,35|0,0|0,0|?
Gambart C 2|-12,25|2,81|21,0|21,0|328
Gambart C 3|-11,44|3,15|0,0|0,0|?
Gambart C 4|-12,38|3,55|0,0|0,0|?
Gambart C 5|-12,85|3,73|12,0|12,0|?
Gambart C 6|-12,33|3,96|0,0|0,0|?
GAMBART D|-17,72|3,35|6,0|6,0|?
GAMBART G|-12,04|1,94|6,0|6,0|?
GAMBART J|-18,20|-0,70|7,0|7,0|?
Gambart K 1|-14,11|4,70|0,0|0,0|?
GARDNER|33,81|17,75|18,0|18,0|3000
GARTNER|34,76|59,24|103,0|102,0|?
GARTNER A|37,72|60,71|14,0|14,0|?
GARTNER C|31,09|59,50|8,0|8,0|?
GARTNER D|33,96|58,51|8,0|8,0|?
GARTNER E|43,82|61,58|7,0|7,0|?
GARTNER F|30,26|57,53|14,0|14,0|?
GARTNER G|39,84|59,65|33,0|33,0|?
GARTNER M|37,03|55,53|11,0|11,0|?
GASSENDI|-39,96|-17,55|111,0|110,0|1850
GASSENDI A|-39,80|-15,55|33,0|33,0|3600
GASSENDI B|-40,64|-14,66|26,0|26,0|?
GASSENDI E|-43,63|-18,45|8,0|8,0|?
GASSENDI F|-45,02|-15,03|8,0|8,0|?
GASSENDI G|-44,67|-16,75|8,0|8,0|?
GASSENDI J|-37,10|-21,62|9,0|9,0|?
GASSENDI K|-43,74|-18,78|6,0|6,0|?
GASSENDI L|-41,79|-20,39|6,0|6,0|?
GASSENDI O|-35,13|-21,96|11,0|11,0|?
GASSENDI T|-35,44|-19,05|10,0|10,0|?
GASSENDI W|-43,73|-17,66|6,0|6,0|?
GASTON|-33,96|30,88|2,0|2,0|
GATOR|15,60|-9,00|0,9|0,9|
GAUDIBERT|37,82|-10,93|33,0|33,0|1600
GAUDIBERT A|37,94|-12,20|21,0|21,0|?
GAUDIBERT B|38,56|-12,32|21,0|21,0|?
GAUDIBERT C|37,80|-11,57|9,0|9,0|?
GAUDIBERT H|36,72|-13,83|11,0|11,0|?
GAUDIBERT J|39,16|-11,18|10,0|10,0|?
GAURICUS|-12,74|-33,91|80,0|80,0|2700
GAURICUS A|-13,57|-35,64|38,0|38,0|?
GAURICUS B|-12,23|-35,39|23,0|23,0|?
GAURICUS C|-10,73|-35,26|11,0|11,0|?
GAURICUS D|-11,46|-35,14|13,0|13,0|?
GAURICUS E|-11,88|-32,58|7,0|7,0|?
GAURICUS F|-12,71|-33,11|12,0|12,0|?
GAURICUS G|-11,05|-33,99|18,0|18,0|?
GAURICUS H|-13,39|-38,24|8,0|8,0|?
GAURICUS J|-12,00|-32,34|10,0|10,0|?
GAURICUS M|-13,70|-34,42|6,0|6,0|?
GAURICUS N|-12,74|-32,44|7,0|7,0|?
GAURICUS P|-12,50|-35,09|6,0|6,0|?
GAURICUS R|-13,32|-34,87|6,0|6,0|?
GAURICUS S|-10,17|-33,91|15,0|15,0|?
GAUSS|79,08|36,01|177,0|177,0|3600
Gauss 1|76,73|36,44|0,0|0,0|?
Gauss 2|76,74|37,23|0,0|0,0|?
GAUSS A|82,77|36,54|18,0|18,0|?
GAUSS B|81,60|35,99|37,0|37,0|?
GAUSS C|72,16|39,72|29,0|29,0|?
GAUSS D|73,89|39,37|24,0|24,0|?
GAUSS E|77,71|35,35|8,0|8,0|?
GAUSS F|78,39|34,83|20,0|20,0|?
GAUSS G|79,01|34,26|18,0|18,0|?
GAUSS H|76,87|33,15|11,0|11,0|?
GAUSS J|72,65|40,57|14,0|14,0|?
GAUSS W|80,28|34,63|18,0|18,0|?
GAY-LUSSAC|-20,79|13,88|27,0|26,0|830
GAY-LUSSAC A|-20,38|13,18|14,0|14,0|2550
GAY-LUSSAC D|-21,06|14,58|11,0|5,0|?
GEBER|13,85|-19,46|45,0|45,0|3510
GEBER A|14,70|-21,84|14,0|14,0|?
GEBER B|12,91|-19,03|19,0|19,0|?
GEBER C|14,88|-22,18|11,0|11,0|?
GEBER E|12,96|-20,55|6,0|6,0|?
GEMINUS|56,66|34,42|86,0|86,0|5400
GEMINUS A|51,80|31,51|15,0|15,0|?
GEMINUS B|52,11|34,14|10,0|10,0|?
GEMINUS C|58,69|33,88|16,0|16,0|?
GEMINUS D|47,29|30,58|16,0|16,0|?
GEMINUS E|48,58|33,84|67,0|67,0|?
GEMINUS F|51,10|32,08|22,0|22,0|?
GEMINUS G|48,57|30,80|14,0|14,0|?
GEMINUS H|48,82|31,57|15,0|15,0|?
